subject,relation,object,subject_type,object_type
adult cardiologists,make,average,NOUN_CHUNK,NOUN_CHUNK
procedures,include,therapeutic methods,NOUN_CHUNK,NOUN_CHUNK
Vascular disorders,cause,significant morbidity,NOUN_CHUNK,NOUN_CHUNK
baby,are,ventricular septal defect,NOUN_CHUNK,NOUN_CHUNK
pediatric cardiologists,make,average,NOUN_CHUNK,NOUN_CHUNK
heart,has,numerous anatomical features,NOUN_CHUNK,NOUN_CHUNK
cardiac examination,follows,standard structure,NOUN_CHUNK,NOUN_CHUNK
High blood pressure,cause,symptoms,NOUN_CHUNK,NOUN_CHUNK
Lifestyle factors,increase,risk,NOUN_CHUNK,NOUN_CHUNK
Lifestyle changes,include,weight loss,NOUN_CHUNK,NOUN_CHUNK
Up to three medications,control,blood pressure,CARDINAL,NOUN_CHUNK
High blood pressure,affects,between 16 and 37%,NOUN_CHUNK,DATE
Hypertension,increase,risk,NOUN_CHUNK,NOUN_CHUNK
Secondary hypertension,has,different causes,NOUN_CHUNK,NOUN_CHUNK
types,have,symptoms,NOUN_CHUNK,NOUN_CHUNK
Extra beats,include,premature atrial contractions,NOUN_CHUNK,NOUN_CHUNK
Supraventricular tachycardias,include,atrial fibrillation,NOUN_CHUNK,NOUN_CHUNK
Ventricular arrhythmias,include,ventricular fibrillation,NOUN_CHUNK,NOUN_CHUNK
Treatments,include,medications,NOUN_CHUNK,NOUN_CHUNK
later group,have,significant effects,NOUN_CHUNK,NOUN_CHUNK
Arrhythmia,affects,millions of people,NOUN_CHUNK,CARDINAL
atrial fibrillation,affects,about 2% to 3%,NOUN_CHUNK,PERCENT
complications,include,heart failure,NOUN_CHUNK,NOUN_CHUNK
Risk factors,include,high blood pressure,NOUN_CHUNK,NOUN_CHUNK
risks,include,depression,NOUN_CHUNK,NOUN_CHUNK
underlying mechanism,involves,atherosclerosis,NOUN_CHUNK,NOUN_CHUNK
Treatment,involves,measures,NOUN_CHUNK,NOUN_CHUNK
Symptoms,include,loss,NOUN_CHUNK,NOUN_CHUNK
common causes,include,major blood loss,NOUN_CHUNK,NOUN_CHUNK
number,increase,risk,NOUN_CHUNK,NOUN_CHUNK
U.S. television shows,portrayed,unrealistically high survival rates,NOUN_CHUNK,NOUN_CHUNK
child,divided into,potential,NOUN_CHUNK,NOUN_CHUNK
defects,need,treatment,NOUN_CHUNK,NOUN_CHUNK
starting point,obtaining,medical history,NOUN_CHUNK,NOUN_CHUNK
Electrophysiological procedures,include,electrocardiogram,ORG,NOUN_CHUNK
Wallace Brigden,identified,cardiomyopathy,PERSON,NOUN_CHUNK
Max Holzmann,recognized,sign,PERSON,NOUN_CHUNK
The British Medical Association,has,range,ORG,NOUN_CHUNK
The British Medical Association,shares,national bargaining rights,ORG,NOUN_CHUNK
Members,receive,subscription,NOUN_CHUNK,NOUN_CHUNK
The British Medical Association,has,number,ORG,NOUN_CHUNK
Council,has,34 voting members,ORG,CARDINAL
Junior Doctors Committee,representing,junior hospital doctors,ORG,NOUN_CHUNK
Medical Students Committee,representing,medical students,ORG,NOUN_CHUNK
Equality Diversity Committee,provides,guidance,NOUN_CHUNK,NOUN_CHUNK
Equality and Diversity Committee,holds,two conferences,ORG,CARDINAL
BMA House,traces,BMA House origins,ORG,ORG
Barr,condemned,the National Health Insurance Bill,PERSON,ORG
BMA,repeated,role,NOUN_CHUNK,NOUN_CHUNK
Chairs,include,following,NOUN_CHUNK,NOUN_CHUNK
Grants.the BMA,makes,grants,NOUN_CHUNK,NOUN_CHUNK
logo,includes,stylised version,NOUN_CHUNK,NOUN_CHUNK
Axel Cappelen,ligated,bleeding coronary artery,PERSON,NOUN_CHUNK
Alfred Blalock,performed,successful palliative pediatric cardiac operation,PERSON,NOUN_CHUNK
Russell Brock,used,specially designed dilator,PERSON,NOUN_CHUNK
introduction,performed until,direct surgery,NOUN_CHUNK,NOUN_CHUNK
four surgeons,carried out,successful operations,CARDINAL,NOUN_CHUNK
Alexander Alexandrovich Vishnevsky,conducted,cardiac surgery,PERSON,NOUN_CHUNK
Dr. John Carter Callaghan,performed,documented open heart surgery,NOUN_CHUNK,NOUN_CHUNK
surgeon,open,heart,NOUN_CHUNK,NOUN_CHUNK
machine,stopped,blood,NOUN_CHUNK,NOUN_CHUNK
surgeons,developed after,limitations,NOUN_CHUNK,NOUN_CHUNK
Dr. Lillehei,performed,series,NOUN_CHUNK,NOUN_CHUNK
Nazih Zuhdi,performed,total intentional hemodilution open heart surgery,ORG,NOUN_CHUNK
Soviet pathologist,transplanted,heart,NOUN_CHUNK,NOUN_CHUNK
Barnard,performed,Heart transplant,ORG,NOUN_CHUNK
Adrian Kantrowitz,performed,pediatric heart transplant,PERSON,NOUN_CHUNK
Norman Shumway,performed,adult heart transplant,PERSON,NOUN_CHUNK
advancement,reduced,mortality rates,NOUN_CHUNK,NOUN_CHUNK
Clare Gerada,has,professional interests,PERSON,NOUN_CHUNK
father,opened,single handed general practitioner practice,NOUN_CHUNK,NOUN_CHUNK
Clare Gerada,started,work,PERSON,NOUN_CHUNK
The Care Quality Commission,rated,service,ORG,NOUN_CHUNK
cardiologist,killed,cardiologist,NOUN_CHUNK,NOUN_CHUNK
Clare Gerada,debated,University College London Hospitals NHS Foundation Trust,PERSON,ORG
large medical laboratory,accept,samples,NOUN_CHUNK,NOUN_CHUNK
largest,do,tests,NOUN_CHUNK,NOUN_CHUNK
Common clinical chemistry,tests,include:.Panel tests,NOUN_CHUNK,ORG
Aranaz JM,ligados,Hospitalización,ORG,NOUN_CHUNK
mediciones,esporádicas,presión arterial,NOUN_CHUNK,NOUN_CHUNK
los,medicamentos,sanitarios,NOUN_CHUNK,NOUN_CHUNK
pathologists,practice,anatomical clinical pathology,NOUN_CHUNK,NOUN_CHUNK
overlap,includes,immunoassays,NOUN_CHUNK,NOUN_CHUNK
residency,lasts,four years,NOUN_CHUNK,DATE
pathologist,have,different colourings,NOUN_CHUNK,NOUN_CHUNK
order,used in,correct diagnosis,NOUN_CHUNK,NOUN_CHUNK
analysers,undergo,"daily, weekly and monthly maintenances..Cultures",NOUN_CHUNK,DATE
big,use,culture media,NOUN_CHUNK,NOUN_CHUNK
Intraoperative,neurophysiologic,monitoring:.In,ORG,NOUN_CHUNK
Programs,expose,Programs fellows,NOUN_CHUNK,ORG
The American Board of Psychiatry,provides,certification examination,ORG,NOUN_CHUNK
The American Board of Psychiatry,provides,certification,ORG,NOUN_CHUNK
The American Board of Psychiatry,certifies in,Evoked Potentials,ORG,NOUN_CHUNK
cardiac surgery residency,comprises,4 6 years,NOUN_CHUNK,NOUN_CHUNK
Multiple examinations,take,place,NOUN_CHUNK,NOUN_CHUNK
cardiac surgeons,completed,general surgery,NOUN_CHUNK,NOUN_CHUNK
direct entry format,provides,residents,NOUN_CHUNK,NOUN_CHUNK
Residents,spend,time training,NOUN_CHUNK,NOUN_CHUNK
The Royal College of Physicians and Surgeons of Canada,provides,year cardiac surgery fellowship,ORG,NOUN_CHUNK
Norwegian surgeon Axel Cappelen,ligated,bleeding coronary artery,NORP,NOUN_CHUNK
four surgeons,carried out,successful operations,CARDINAL,NOUN_CHUNK
Charles Bailey,adopted,Souttar's method,PERSON,ORG
Russell Brock,used,specially designed dilator,PERSON,NOUN_CHUNK
introduction,performed until,direct surgery,NOUN_CHUNK,NOUN_CHUNK
Soviet surgeon Aleksandr Aleksandrovich Vishnevskiy,conducted,cardiac surgery,NORP,NOUN_CHUNK
patient,bypass,function,NOUN_CHUNK,NOUN_CHUNK
C. Walton Lillehei,realized,successful series,PERSON,NOUN_CHUNK
Nazih Zuhdi,performed,total intentional hemodilution open heart surgery,ORG,NOUN_CHUNK
Nazih Zuhdi,performed,Oklahoma's first successful heart transplant,ORG,GPE
development,reduced,mortality rates,NOUN_CHUNK,NOUN_CHUNK
Infection,represents,primary non - cardiac complication,NOUN_CHUNK,NOUN_CHUNK
Infections,include,mediastinitis,NOUN_CHUNK,NOUN_CHUNK
Lung volume reduction surgery,improve,quality,NOUN_CHUNK,NOUN_CHUNK
participation,is,risk,NOUN_CHUNK,NOUN_CHUNK
complication,delays,chest tube removal,NOUN_CHUNK,NOUN_CHUNK
use,shown to,incidence,NOUN_CHUNK,NOUN_CHUNK
clinics,retain,clinic,NOUN_CHUNK,NOUN_CHUNK
owners,have,formal medical education,NOUN_CHUNK,NOUN_CHUNK
traditional clinics,provide,ayurvedic medicine,NOUN_CHUNK,NOUN_CHUNK
polyclinics,contain,outpatient departments,NOUN_CHUNK,NOUN_CHUNK
India,set up,huge numbers,GPE,NOUN_CHUNK
clinics,be,government funded private medical practices,NOUN_CHUNK,NOUN_CHUNK
free clinic,provides,free low cost healthcare,NOUN_CHUNK,NOUN_CHUNK
general patient clinic,offers,general diagnoses,NOUN_CHUNK,NOUN_CHUNK
polyclinic,provides,range,NOUN_CHUNK,NOUN_CHUNK
specialist clinic,provides,advanced diagnostic treatment services,NOUN_CHUNK,NOUN_CHUNK
ultrasound clinic,offers,medical ultrasound investigations,NOUN_CHUNK,NOUN_CHUNK
Christian Medical College & Hospital,has,extensive roadside dispensaries,ORG,NOUN_CHUNK
Kramer,gets,vanity plate,PERSON,NOUN_CHUNK
CFPC,uses,English,NOUN_CHUNK,LANGUAGE
CFPC,establishes,standards,NOUN_CHUNK,NOUN_CHUNK
College,obtained,College current,NOUN_CHUNK,NOUN_CHUNK
Continuing professional CFPC,has,numerous opportunities,NOUN_CHUNK,NOUN_CHUNK
CFPC,hosts,the Family Medicine Forum,NOUN_CHUNK,ORG
conference,offers,hundreds of clinical and professional development sessions for family physicians over three days in November,NOUN_CHUNK,CARDINAL
CFPC,released,list,NOUN_CHUNK,NOUN_CHUNK
Clinician scholar program,involves,completion,NOUN_CHUNK,NOUN_CHUNK
medical schools,have,student interest groups,NOUN_CHUNK,NOUN_CHUNK
activities,take,place,NOUN_CHUNK,NOUN_CHUNK
health practitioners,continued,health practitioners,NOUN_CHUNK,NOUN_CHUNK
pharmaceutical industry,developed,guidelines,NOUN_CHUNK,NOUN_CHUNK
CFPC,requires,250 credit-hours,NOUN_CHUNK,CARDINAL
province,requires,documentation,NOUN_CHUNK,NOUN_CHUNK
members,classified as,published research,NOUN_CHUNK,NOUN_CHUNK
CME,maintains,Registry,ORG,NOUN_CHUNK
Registry,included,320 professionals,NOUN_CHUNK,CARDINAL
Industry sponsored CMEs,violate,federal statutes,NOUN_CHUNK,NOUN_CHUNK
countries,developed,mass vaccination campaigns,NOUN_CHUNK,NOUN_CHUNK
Management,involves,treatment,NOUN_CHUNK,NOUN_CHUNK
animals,known to,virus,NOUN_CHUNK,NOUN_CHUNK
medical scientists,reported,evidence,NOUN_CHUNK,NOUN_CHUNK
structural proteins,include,membrane glycoprotein,NOUN_CHUNK,NOUN_CHUNK
structure,resembles,sugar transporter,NOUN_CHUNK,NOUN_CHUNK
COVID-19,affect,upper respiratory tract,NOUN_CHUNK,NOUN_CHUNK
people,have,classical serum biomarkers,NOUN_CHUNK,NOUN_CHUNK
Multiple viral host factors,affect,pathogenesis,NOUN_CHUNK,NOUN_CHUNK
S protein,includes,two subunits,NOUN_CHUNK,CARDINAL
S1,determines,virus host range,NOUN_CHUNK,NOUN_CHUNK
clinical studies,proven,susceptibility,NOUN_CHUNK,NOUN_CHUNK
effects,cause,majority,NOUN_CHUNK,NOUN_CHUNK
cytokine storm,causes,acute respiratory distress syndrome,NOUN_CHUNK,NOUN_CHUNK
guidelines,recommend,medication,NOUN_CHUNK,NOUN_CHUNK
Methods,include,quarantines,NOUN_CHUNK,NOUN_CHUNK
Health agencies,issued,detailed instructions,NOUN_CHUNK,NOUN_CHUNK
Face coverings,limit,volume travel distance,NOUN_CHUNK,NOUN_CHUNK
10% to 20%,associated with,symptoms,PERCENT,NOUN_CHUNK
Infected people,reported,cyclical bouts,NOUN_CHUNK,NOUN_CHUNK
Complications,include,pneumonia,NOUN_CHUNK,NOUN_CHUNK
Cardiovascular complications,include,heart failure,NOUN_CHUNK,NOUN_CHUNK
majority,performed,lung abnormalities,NOUN_CHUNK,NOUN_CHUNK
mortality rate,reflects,number,NOUN_CHUNK,NOUN_CHUNK
mortality rate,reflects,prevalence,NOUN_CHUNK,NOUN_CHUNK
CFR,reflects,number,NOUN_CHUNK,NOUN_CHUNK
the World Health Organization,reported,estimates,ORG,NOUN_CHUNK
Antibody testing,suggested,IFR,NOUN_CHUNK,NOUN_CHUNK
the U.S. Center for Disease Control & Prevention,reported,preliminary estimates,ORG,NOUN_CHUNK
Early reviews,showed,gendered impact,NOUN_CHUNK,NOUN_CHUNK
government,tracking,sex related data,NOUN_CHUNK,NOUN_CHUNK
Similar issues,affect,Native American and Latino communities,NOUN_CHUNK,NORP
89%,had,preexisting conditions,PERCENT,NOUN_CHUNK
Tedros Adhanom,explained,CO,PERSON,NOUN_CHUNK
study,reported,earliest date,NOUN_CHUNK,NOUN_CHUNK
Official publications,reported,earliest onset,NOUN_CHUNK,NOUN_CHUNK
Wuhan Central Hospital,sent,bronchoalveolar lavage fluid BAL sample,ORG,NOUN_CHUNK
the Wuhan Municipal Health Commission,issued,notice,ORG,NOUN_CHUNK
China,reported,nearly 140 new cases,GPE,CARDINAL
Italy,overtook,China,GPE,GPE
the United States,overtaken,China,GPE,GPE
pets,catch,Zika virus,NOUN_CHUNK,PERSON
Symptoms,include,respiratory,NOUN_CHUNK,NOUN_CHUNK
Multiple countries,identified,infected animals,NOUN_CHUNK,NOUN_CHUNK
Denmark,ordered,slaughter,GPE,NOUN_CHUNK
France,banned,use,GPE,NOUN_CHUNK
the U.S. Food and Drug Administration,issued,emergency use authorization,ORG,NOUN_CHUNK
Cochrane review,found,insufficient evidence,NOUN_CHUNK,NOUN_CHUNK
Treatment,"guidelines.""JHMI",Clinical Recommendations,NOUN_CHUNK,NOUN_CHUNK
Proper cytopathology technique,takes,time,NOUN_CHUNK,NOUN_CHUNK
Cytotechnologists,assist,clinicians,NOUN_CHUNK,NOUN_CHUNK
Breast cytology,concerning,female breast,NOUN_CHUNK,NOUN_CHUNK
Vaginal cytology,concerning,non - human mammals,NOUN_CHUNK,NOUN_CHUNK
Dentistry,encompasses,practices,NOUN_CHUNK,NOUN_CHUNK
Dentists,prescribe,medications,NOUN_CHUNK,NOUN_CHUNK
Oral infections,affect,overall health,NOUN_CHUNK,NOUN_CHUNK
oral health,referred to,systemic health,NOUN_CHUNK,NOUN_CHUNK
1878 British Dentists Act,limited,title,NOUN_CHUNK,NOUN_CHUNK
Dentists,complete,between five and eight years,NOUN_CHUNK,DATE
Special,needs,dentistry,NOUN_CHUNK,NOUN_CHUNK
Examination,reveals,early attempts,NOUN_CHUNK,NOUN_CHUNK
Egyptians,bound,replacement teeth,NOUN_CHUNK,NOUN_CHUNK
Fauchard,introduced,dental fillings,ORG,NOUN_CHUNK
the Occupational Safety and Health Administration,places,limitation,ORG,NOUN_CHUNK
United States,experiencing,national shortage,GPE,NOUN_CHUNK
study,reported,fewer than 3.4 dermatologists,NOUN_CHUNK,CARDINAL
dermatologists,complete,fellowships,NOUN_CHUNK,NOUN_CHUNK
dermatologists,perform,cosmetic procedures,NOUN_CHUNK,NOUN_CHUNK
dermatologists,limit,dermatologists cosmetic practice,NOUN_CHUNK,NOUN_CHUNK
dermatologist,complete,one year,NOUN_CHUNK,DATE
field,encompasses,complex diseases,NOUN_CHUNK,NOUN_CHUNK
dermatologist,adapted,procedure,NOUN_CHUNK,NOUN_CHUNK
dermatologists,have,best understanding,NOUN_CHUNK,NOUN_CHUNK
National Board,conducts,National Board (DrNB) postgraduate and postdoctoral programmes,ORG,ORG
the Ministry of Health and Family Welfare,issued,notification,ORG,NOUN_CHUNK
subspecialties,changed to,postdoctoral fellowship programme,NOUN_CHUNK,NOUN_CHUNK
specialty,fulfills,requirements,NOUN_CHUNK,NOUN_CHUNK
Hurricane Andrew,struck,Florida,EVENT,GPE
the Disaster Information Management Research Center,provides,specialized database,ORG,NOUN_CHUNK
Principles,suggest,distribution,NOUN_CHUNK,NOUN_CHUNK
Procedural systems,emphasize,certain patterns,NOUN_CHUNK,NOUN_CHUNK
Clara Barton,starts,organization,PERSON,NOUN_CHUNK
President Franklin Roosevelt,makes,public request,NOUN_CHUNK,NOUN_CHUNK
The North Atlantic Treaty Organization,publishes,official disaster medicine manual,ORG,NOUN_CHUNK
Schaeffer.1984 United States Public Health Service,forms,federal disaster medical response team,NOUN_CHUNK,NOUN_CHUNK
Healthcare professionals,join,discussion group,ORG,NOUN_CHUNK
The University of New Mexico,creates,the Center for Disaster Medicine,ORG,ORG
"The September 11, 2001 attacks on the World Trade Center",cause,largest loss,EVENT,NOUN_CHUNK
HSPD-5,mandates,creation,NOUN_CHUNK,NOUN_CHUNK
terrorism.2004 Hurricanes Charlie,batter,state,NOUN_CHUNK,NOUN_CHUNK
the Institute of Medicine,publishes,three reports,ORG,CARDINAL
internal dysfunctions,produce,variety,NOUN_CHUNK,NOUN_CHUNK
broader sense,includes,injuries,NOUN_CHUNK,NOUN_CHUNK
idiopathic disease,has,unknown cause,NOUN_CHUNK,NOUN_CHUNK
aspects,include,lethargy,NOUN_CHUNK,NOUN_CHUNK
health insurance policies,define,medical condition,NOUN_CHUNK,NOUN_CHUNK
term,excludes,infections,NOUN_CHUNK,NOUN_CHUNK
the World Health Organization's Social Determinants Council,recognizes,Social determinants,ORG,NOUN_CHUNK
language habit,cause,confusion,NOUN_CHUNK,NOUN_CHUNK
Infectious diseases,comprise,clinically evident illness,NOUN_CHUNK,NOUN_CHUNK
Common treatments,include,medications,NOUN_CHUNK,NOUN_CHUNK
Epidemiologists,study,interaction,NOUN_CHUNK,NOUN_CHUNK
different groups,use,significantly different definitions,NOUN_CHUNK,NOUN_CHUNK
different researchers,report,different numbers,NOUN_CHUNK,NOUN_CHUNK
obesity,represent,wealth,NOUN_CHUNK,NOUN_CHUNK
Sickness,confers,social legitimization,NOUN_CHUNK,NOUN_CHUNK
identification,have,significant social economic implications,NOUN_CHUNK,NOUN_CHUNK
controversial recognition,had,number,NOUN_CHUNK,NOUN_CHUNK
Social standing,affect,health,NOUN_CHUNK,NOUN_CHUNK
cancer patients,treat,loss,NOUN_CHUNK,NOUN_CHUNK
Authors,used,tuberculosis,NOUN_CHUNK,NOUN_CHUNK
field,includes,effect,NOUN_CHUNK,NOUN_CHUNK
The ECHM-EDTC Educational and Training Standards for Diving and Hyperbaric Medicine,specify,following scope,ORG,NOUN_CHUNK
The ECHM-EDTC Educational and Training Standards for Diving and Hyperbaric Medicine,specify,following scope,ORG,NOUN_CHUNK
Studies,shown,Studies,NOUN_CHUNK,NOUN_CHUNK
use,influence,fitness,NOUN_CHUNK,NOUN_CHUNK
/UHMS Physicians,Training,Course,NOUN_CHUNK,NOUN_CHUNK
Subject matter,includes,Basic physics,NOUN_CHUNK,NOUN_CHUNK
The Accreditation Council for Graduate Medical Education,offer,12 month programs,ORG,DATE
Level 2D. Diving Medicine Physician,minimum,80 teaching hours,NOUN_CHUNK,CARDINAL
DMP,have,knowledge,NOUN_CHUNK,NOUN_CHUNK
DMP DMP,have,certified skills,NOUN_CHUNK,NOUN_CHUNK
Hyperbaric Medicine Physician,minimum,120 teaching hours,NOUN_CHUNK,TIME
Überdruckmedizin e. V. German standards,include,Medical Examiner of Divers,NOUN_CHUNK,ORG
Swiss standards,include,Medical Examiner of Divers,NORP,ORG
Hyperbarmedizin Austrian standards,include,Medical Examiner of Divers,NOUN_CHUNK,ORG
The South African Department of Employment,registers,two levels,ORG,CARDINAL
Offshore diving contractors,follow,IMCA recommendations,NOUN_CHUNK,NOUN_CHUNK
curriculum,covers,wide range,NOUN_CHUNK,NOUN_CHUNK
curriculum,covers,wide range,NOUN_CHUNK,NOUN_CHUNK
South Pacific Underwater Medicine Society,offers,Diploma of Diving and Hyperbaric Medicine,ORG,ORG
Osteopathic physicians,constitute,11%,NOUN_CHUNK,PERCENT
graduates,attend,graduate medical education programs,NOUN_CHUNK,NOUN_CHUNK
medical school accreditation standards,require,training,NOUN_CHUNK,NOUN_CHUNK
Osteopathic physicians,constitute,11%,NOUN_CHUNK,PERCENT
graduates,attend,graduate medical education programs,NOUN_CHUNK,NOUN_CHUNK
medical school accreditation standards,require,training,NOUN_CHUNK,NOUN_CHUNK
holders,use,post - nominal letters,NOUN_CHUNK,NOUN_CHUNK
candidate,defend,work,NOUN_CHUNK,NOUN_CHUNK
Universities,award,types,NOUN_CHUNK,NOUN_CHUNK
the European Universities Association,defined,"the ""Salzburg Principles",ORG,ORG
basic faculty,awarded,intermediate degrees,NOUN_CHUNK,NOUN_CHUNK
The University of London,introduced,DSc,ORG,NOUN_CHUNK
reforms,transformed,the Faculty of Philosophy or Arts,NOUN_CHUNK,ORG
Harvard,building,major graduate programs,ORG,NOUN_CHUNK
leading universities,set up,network,NOUN_CHUNK,NOUN_CHUNK
student,required for,Honours degree,NOUN_CHUNK,NOUN_CHUNK
universities,require,coursework,NOUN_CHUNK,NOUN_CHUNK
individual universities,specify,additional requirements,NOUN_CHUNK,NOUN_CHUNK
PhD candidates,spend,entire study period,WORK_OF_ART,NOUN_CHUNK
PhD candidates,spend,periods,WORK_OF_ART,NOUN_CHUNK
faculty members,seen as,direction,NOUN_CHUNK,NOUN_CHUNK
articles,examined,issue,NOUN_CHUNK,NOUN_CHUNK
admission,requires,completion,NOUN_CHUNK,NOUN_CHUNK
candidate,demonstrate,truthful original contributions,NOUN_CHUNK,NOUN_CHUNK
Australian students,have,sources,NORP,NOUN_CHUNK
Australian PhD programs,have,required coursework component,NOUN_CHUNK,NOUN_CHUNK
Admission,requires,completion,NOUN_CHUNK,NOUN_CHUNK
application package,includes,research proposal,NOUN_CHUNK,NOUN_CHUNK
successful completion,permits,continuance,NOUN_CHUNK,NOUN_CHUNK
PhD students,receive,award,NOUN_CHUNK,NOUN_CHUNK
programs,require,PhD candidates,NOUN_CHUNK,NOUN_CHUNK
student,required that,comprehensive exams,NOUN_CHUNK,NOUN_CHUNK
PhD course admission,require,master degree,NOUN_CHUNK,NOUN_CHUNK
candidate,find,funding,NOUN_CHUNK,NOUN_CHUNK
company,hires,candidate,NOUN_CHUNK,NOUN_CHUNK
standard PhD,completed in,Bologna process,NOUN_CHUNK,NOUN_CHUNK
candidate,undergoes,oral examination,NOUN_CHUNK,NOUN_CHUNK
Denmark,introduced,Dr. Phil(os,GPE,NOUN_CHUNK
Denmark,introduced,American style PhD,GPE,NOUN_CHUNK
candidates,complete,two trial lectures,NOUN_CHUNK,CARDINAL
university diploma,granted by,force,NOUN_CHUNK,NOUN_CHUNK
The Ministry of Science,keeps,a National Registry of Theses called,ORG,LAW
UK universities,abbreviate,UK universities,NOUN_CHUNK,NOUN_CHUNK
US students,undergo,series,GPE,NOUN_CHUNK
candidate,undergoes,oral examination,NOUN_CHUNK,NOUN_CHUNK
US universities,awarded,"8,611 PhD diplomas",GPE,CARDINAL
PhD students,receive,tuition waiver,NOUN_CHUNK,NOUN_CHUNK
second doctorate,constitutes,higher qualification,NOUN_CHUNK,NOUN_CHUNK
countries,have,higher numbers,NOUN_CHUNK,NOUN_CHUNK
medical degrees,received,legal sanction,NOUN_CHUNK,NOUN_CHUNK
students,complete,residency,NOUN_CHUNK,NOUN_CHUNK
Kabul medical institute,certified,students,NOUN_CHUNK,NOUN_CHUNK
universities,renamed,universities,NOUN_CHUNK,NOUN_CHUNK
medical studies,take,6 years,NOUN_CHUNK,DATE
the first two years,comprise,basic fields,DATE,NOUN_CHUNK
MDs,use,doctor,NOUN_CHUNK,NOUN_CHUNK
duration,takes,4 years,NOUN_CHUNK,DATE
Public universities,cost,"around US$8,000 - US$12,000",NOUN_CHUNK,MONEY
students,obtain,professional title,NOUN_CHUNK,NOUN_CHUNK
physicians,viewed as,courtesy denomination,NOUN_CHUNK,NOUN_CHUNK
prestigious research universities,offer,program,NOUN_CHUNK,NOUN_CHUNK
private public university,select,private public university candidates,NOUN_CHUNK,NOUN_CHUNK
students,obtain,degree,NOUN_CHUNK,NOUN_CHUNK
Université René Descartes,welcomes,"about 2,000 students",NOUN_CHUNK,CARDINAL
medical students,get,special status,NOUN_CHUNK,NOUN_CHUNK
Med students,get,five weeks,NOUN_CHUNK,DATE
French medical students,receive,a State Diploma of Doctor of Medicine,NORP,ORG
students,receive,Diploma of Complementary Specialized Studies,NOUN_CHUNK,ORG
About 60%,obtain,academic degree,PERCENT,NOUN_CHUNK
Lincoln American University,provides,medicine programs,ORG,NOUN_CHUNK
Tel Aviv University,introduced,year program,ORG,NOUN_CHUNK
Approximately 30%,pass,Mor Mirkam tests,PERCENT,NOUN_CHUNK
licensed Physician,has,option,NOUN_CHUNK,NOUN_CHUNK
title,доктор,медицинских наук,NOUN_CHUNK,NOUN_CHUNK
Tel Aviv University,has,medical school,ORG,NOUN_CHUNK
the Yong Loo Lin School of Medicine,confers,MB BS,ORG,ORG
the Jessenius School of Medicine,have,international students,ORG,NOUN_CHUNK
the Jessenius School of Medicine,has,almost a thousand international students,ORG,CARDINAL
student,is,gymnasium grammar school,NOUN_CHUNK,NOUN_CHUNK
Thai medical education,follows,6-year European system,NOUN_CHUNK,NOUN_CHUNK
medical students,pass,national medical licensing examinations,NOUN_CHUNK,NOUN_CHUNK
medical students,receive,degree,NOUN_CHUNK,NOUN_CHUNK
student,gets,status,NOUN_CHUNK,NOUN_CHUNK
five years university education,awarded upon,three years basic sciences,DATE,DATE
American MD,have,identical titles,NOUN_CHUNK,NOUN_CHUNK
Public Universities,offer,degree,NOUN_CHUNK,NOUN_CHUNK
Government,recognised,FCPS qualification,NOUN_CHUNK,NOUN_CHUNK
the National Board of Examinations,awards,DNB degree,ORG,NOUN_CHUNK
universities,offering,MD,NOUN_CHUNK,NOUN_CHUNK
MD degree holder,certified as,2–4 years,NOUN_CHUNK,DATE
MD degree,requires,between four and six years,NOUN_CHUNK,DATE
Commonwealth institutions,retain,The MD,NOUN_CHUNK,ORG
Students,finish,the 3 years,NOUN_CHUNK,DATE
medical students,receive,six years,NOUN_CHUNK,DATE
Medical students,receive,three years,NOUN_CHUNK,DATE
the National Board of Health and Welfare,requires,minimum,ORG,NOUN_CHUNK
basic medical qualification,is,degree,NOUN_CHUNK,NOUN_CHUNK
medical schools,award,degree,NOUN_CHUNK,NOUN_CHUNK
the West African College of Physicians,award,Fellowship,ORG,NOUN_CHUNK
MDs,attend,MD,NOUN_CHUNK,GPE
Leading causes,included,cardiovascular disease,NOUN_CHUNK,NOUN_CHUNK
Hugh R. Leavell,coined,term primary prevention,PERSON,NOUN_CHUNK
poor diet,surpass,tobacco,NOUN_CHUNK,NOUN_CHUNK
leading causes,share,similar trends,NOUN_CHUNK,NOUN_CHUNK
Ninety to 95 percent,have,type 2 diabetes,PERCENT,NOUN_CHUNK
Prevention,include,exercise,NOUN_CHUNK,NOUN_CHUNK
Low middle income countries,share,majority,NOUN_CHUNK,NOUN_CHUNK
carcinogens,include,asbestos radioactive materials,NOUN_CHUNK,NOUN_CHUNK
cessation techniques,include,group support programs,NOUN_CHUNK,NOUN_CHUNK
Studies,shown,long term success rates,NOUN_CHUNK,NOUN_CHUNK
Legislation,affect,smoking prevention,NOUN_CHUNK,NOUN_CHUNK
Cervical cancer,ranks among,sub Saharan Africa,NOUN_CHUNK,NOUN_CHUNK
methods,include,fecal occult blood testing,NOUN_CHUNK,NOUN_CHUNK
study,revealed,health disparities,NOUN_CHUNK,NOUN_CHUNK
positive lifestyle choices,is,investment,NOUN_CHUNK,NOUN_CHUNK
Cohen et al,outlined,arguments,PERSON,NOUN_CHUNK
obesity,impairs,cognitive achievement,NOUN_CHUNK,NOUN_CHUNK
obese children,increased,health care expenses,NOUN_CHUNK,NOUN_CHUNK
effect,affect,obese children contributions,NOUN_CHUNK,NOUN_CHUNK
